"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2023","8.68","8.66","8.72","8.62","5.29M","-1.36%"
"10/30/2023","8.80","8.74","8.84","8.72","5.15M","0.69%"
"10/27/2023","8.74","8.55","8.75","8.51","5.78M","1.86%"
"10/26/2023","8.58","8.55","8.59","8.42","4.10M","-0.12%"
"10/25/2023","8.59","8.56","8.71","8.54","4.20M","0.82%"
"10/24/2023","8.52","8.37","8.53","8.36","4.56M","1.91%"
"10/23/2023","8.36","8.48","8.52","8.33","4.64M","-1.30%"
"10/20/2023","8.47","8.52","8.60","8.46","3.92M","-0.47%"
"10/19/2023","8.51","8.57","8.64","8.49","4.95M","-0.93%"
"10/18/2023","8.59","8.75","8.75","8.59","5.13M","-1.60%"
"10/17/2023","8.73","8.72","8.79","8.67","4.04M","0.11%"
"10/16/2023","8.72","8.83","8.86","8.66","5.49M","-1.13%"
"10/13/2023","8.82","8.98","8.98","8.81","7.00M","-2.33%"
"10/12/2023","9.03","8.96","9.04","8.93","4.14M","1.12%"
"10/11/2023","8.93","9.08","9.11","8.92","6.54M","-1.65%"
"10/10/2023","9.08","9.18","9.23","9.06","5.08M","-1.09%"
"10/09/2023","9.18","9.27","9.28","9.17","4.58M","-1.08%"
"09/28/2023","9.28","9.27","9.31","9.27","3.82M","0.11%"
"09/27/2023","9.27","9.19","9.33","9.19","4.26M","0.22%"
"09/26/2023","9.25","9.24","9.26","9.16","4.12M","-0.22%"
"09/25/2023","9.27","9.27","9.31","9.22","3.93M","-0.11%"
"09/22/2023","9.28","9.18","9.28","9.17","4.98M","0.65%"
"09/21/2023","9.22","9.24","9.28","9.10","7.06M","-0.32%"
"09/20/2023","9.25","9.30","9.32","9.24","6.10M","-0.96%"
"09/19/2023","9.34","9.31","9.37","9.30","5.93M","0.43%"
"09/18/2023","9.30","9.28","9.33","9.22","4.47M","-0.21%"
"09/15/2023","9.32","9.29","9.35","9.28","5.02M","0.32%"
"09/14/2023","9.29","9.39","9.39","9.28","5.78M","-1.06%"
"09/13/2023","9.39","9.36","9.41","9.29","7.18M","0.11%"
"09/12/2023","9.38","9.33","9.45","9.31","8.32M","0.54%"
"09/11/2023","9.33","9.25","9.35","9.22","6.83M","0.97%"
"09/08/2023","9.24","9.24","9.32","9.20","7.25M","-0.43%"
"09/07/2023","9.28","9.48","9.48","9.28","12.67M","-2.21%"
"09/06/2023","9.49","9.53","9.53","9.44","9.05M","-0.42%"
"09/05/2023","9.53","9.64","9.66","9.49","14.01M","-1.65%"
"09/04/2023","9.69","9.58","9.70","9.54","17.23M","1.36%"
"09/01/2023","9.56","9.45","9.65","9.44","16.67M","0.95%"
"08/31/2023","9.47","9.60","9.60","9.43","18.82M","-1.56%"
"08/30/2023","9.62","9.72","9.82","9.57","28.42M","-1.84%"
"08/29/2023","9.80","9.78","9.86","9.42","39.76M","-1.71%"
"08/28/2023","9.97","10.63","10.95","9.95","64.17M","-7.77%"
"08/25/2023","10.81","11.59","12.09","10.56","94.03M","-6.16%"
"08/24/2023","11.52","11.08","11.96","10.40","96.75M","4.35%"
"08/23/2023","11.04","10.32","11.04","10.20","73.19M","9.96%"
"08/22/2023","10.04","9.57","10.32","9.57","29.54M","7.04%"
"08/21/2023","9.38","9.36","9.50","9.36","3.26M","0.21%"
"08/18/2023","9.36","9.52","9.55","9.33","4.24M","-1.99%"
"08/17/2023","9.55","9.45","9.55","9.36","3.26M","0.84%"
"08/16/2023","9.47","9.47","9.58","9.44","2.25M","-0.32%"
"08/15/2023","9.50","9.51","9.59","9.45","2.64M","-0.21%"
"08/14/2023","9.52","9.49","9.55","9.42","3.18M","-0.42%"
"08/11/2023","9.56","9.69","9.72","9.55","3.95M","-1.44%"
"08/10/2023","9.70","9.70","9.79","9.65","4.11M","0.21%"
"08/09/2023","9.68","9.79","9.83","9.65","4.44M","-1.33%"
"08/08/2023","9.81","9.77","9.82","9.70","3.01M","0.31%"
"08/07/2023","9.78","9.90","9.91","9.73","5.56M","-1.31%"
"08/04/2023","9.91","9.96","10.03","9.91","3.96M","-0.30%"
"08/03/2023","9.94","9.94","9.96","9.89","3.10M","-0.20%"
"08/02/2023","9.96","10.03","10.04","9.94","3.82M","-0.80%"
"08/01/2023","10.04","10.05","10.09","10.00","3.88M","-0.20%"
"07/31/2023","10.06","10.00","10.12","9.99","6.17M","0.20%"
"07/28/2023","10.04","9.99","10.06","9.87","6.28M","0.30%"
"07/27/2023","10.01","10.11","10.11","9.99","4.86M","-0.69%"
"07/26/2023","10.08","10.07","10.17","10.04","5.40M","0.20%"
"07/25/2023","10.06","10.03","10.10","10.01","4.93M","1.21%"
"07/24/2023","9.94","10.02","10.06","9.92","4.92M","-1.29%"
"07/21/2023","10.07","9.99","10.15","9.96","4.67M","0.60%"
"07/20/2023","10.01","10.12","10.15","9.99","5.80M","-1.09%"
"07/19/2023","10.12","10.07","10.12","10.00","5.92M","0.20%"
"07/18/2023","10.10","9.97","10.14","9.97","6.89M","0.90%"
"07/17/2023","10.01","10.01","10.02","9.88","5.08M","0.00%"
"07/14/2023","10.01","9.93","10.15","9.90","10.30M","1.01%"
"07/13/2023","9.91","9.85","9.95","9.85","4.99M","0.51%"
"07/12/2023","9.86","9.90","9.96","9.84","5.34M","-0.60%"
"07/11/2023","9.92","9.85","9.94","9.74","6.55M","0.71%"
"07/10/2023","9.85","9.90","9.95","9.81","5.90M","-0.81%"
"07/07/2023","9.93","9.71","10.01","9.67","10.08M","1.64%"
"07/06/2023","9.77","9.82","9.87","9.76","5.45M","-0.81%"
"07/05/2023","9.85","10.02","10.03","9.85","6.62M","-0.81%"
"07/04/2023","9.93","9.99","10.00","9.80","7.94M","-0.90%"
"07/03/2023","10.02","9.99","10.07","9.95","7.64M","0.40%"
