"Date","Price","Open","High","Low","Vol.","Change %"
"09/30/2024","34.20","34.00","35.25","32.85","51.76M","5.88%"
"09/27/2024","32.30","31.95","33.20","31.35","62.03M","3.86%"
"09/26/2024","31.10","27.90","31.30","27.30","44.71M","12.89%"
"09/25/2024","27.55","29.20","29.25","27.40","30.80M","-2.13%"
"09/24/2024","28.15","26.80","28.40","26.40","28.79M","8.06%"
"09/23/2024","26.05","26.50","27.05","26.00","14.39M","-0.57%"
"09/20/2024","26.20","25.35","26.60","25.30","15.97M","2.34%"
"09/19/2024","25.60","24.45","25.80","24.30","19.71M","5.13%"
"09/17/2024","24.35","24.35","24.55","24.15","11.70M","0.00%"
"09/16/2024","24.35","24.25","24.50","23.55","14.15M","-2.60%"
"09/13/2024","25.00","25.00","25.40","24.85","8.04M","0.20%"
"09/12/2024","24.95","25.20","25.60","24.90","7.11M","-0.99%"
"09/11/2024","25.20","24.90","25.60","24.55","11.71M","-0.79%"
"09/10/2024","25.40","25.65","26.05","25.35","12.32M","-2.31%"
"09/09/2024","26.00","26.35","26.55","25.60","18.53M","-2.07%"
"09/05/2024","26.55","27.10","27.25","26.20","14.14M","-2.03%"
"09/04/2024","27.10","26.60","27.30","26.30","6.46M","0.18%"
"09/03/2024","27.05","26.80","27.60","26.60","9.99M","0.74%"
"09/02/2024","26.85","28.25","28.25","26.85","19.99M","-5.46%"
"08/30/2024","28.40","27.55","29.25","27.10","22.58M","3.09%"
"08/29/2024","27.55","26.65","27.90","26.05","21.78M","1.85%"
"08/28/2024","27.05","30.15","30.15","26.30","43.77M","-10.43%"
"08/27/2024","30.20","30.00","30.85","29.50","15.55M","-0.33%"
"08/26/2024","30.30","28.65","30.55","28.65","17.65M","6.13%"
"08/23/2024","28.55","28.15","28.70","27.80","5.01M","-0.17%"
"08/22/2024","28.60","28.30","28.70","27.85","5.54M","1.06%"
"08/21/2024","28.30","28.60","28.60","28.10","3.71M","-1.39%"
"08/20/2024","28.70","29.35","29.35","28.00","9.75M","-0.35%"
"08/19/2024","28.80","29.15","29.35","28.80","6.89M","-1.20%"
"08/16/2024","29.15","29.00","29.35","28.85","5.92M","0.69%"
"08/15/2024","28.95","29.50","29.85","28.90","6.59M","-3.02%"
"08/14/2024","29.85","29.95","30.10","29.45","4.02M","0.17%"
"08/13/2024","29.80","29.55","30.20","29.40","6.82M","1.36%"
"08/12/2024","29.40","29.25","29.75","28.95","7.74M","1.55%"
"08/09/2024","28.95","29.35","29.55","28.90","6.22M","0.00%"
"08/08/2024","28.95","29.50","29.50","28.20","12.44M","-2.53%"
"08/07/2024","29.70","29.90","30.15","29.30","7.85M","-0.50%"
"08/06/2024","29.85","30.80","30.80","29.85","6.54M","-1.97%"
"08/05/2024","30.45","29.65","30.75","29.35","8.50M","1.50%"
"08/02/2024","30.00","29.60","30.10","29.25","7.65M","0.67%"
"08/01/2024","29.80","30.10","30.40","29.35","7.40M","-2.13%"
"07/31/2024","30.45","30.40","30.60","29.70","6.88M","2.87%"
"07/30/2024","29.60","30.40","30.40","29.35","15.57M","-2.63%"
"07/29/2024","30.40","30.80","30.90","29.95","6.50M","-0.49%"
"07/26/2024","30.55","31.15","31.45","30.40","8.59M","-0.97%"
"07/25/2024","30.85","30.75","31.35","30.25","15.86M","0.33%"
"07/24/2024","30.75","32.80","32.80","30.40","24.58M","-7.10%"
"07/23/2024","33.10","34.40","34.90","33.10","10.16M","-3.78%"
"07/22/2024","34.40","33.70","34.65","33.70","9.88M","1.93%"
"07/19/2024","33.75","35.00","35.30","33.55","12.01M","-4.53%"
"07/18/2024","35.35","33.50","35.90","33.50","26.15M","6.48%"
"07/17/2024","33.20","32.55","33.45","32.50","9.17M","2.00%"
"07/16/2024","32.55","32.95","33.00","32.20","14.11M","-2.84%"
"07/15/2024","33.50","34.95","35.00","33.35","11.76M","-4.56%"
"07/12/2024","35.10","34.70","35.10","34.45","6.78M","1.15%"
"07/11/2024","34.70","35.05","35.25","34.40","12.79M","-1.56%"
"07/10/2024","35.25","35.00","36.50","35.00","16.13M","4.44%"
"07/09/2024","33.75","33.35","34.75","33.35","15.87M","1.35%"
"07/08/2024","33.30","34.10","34.10","32.40","28.88M","-3.62%"
"07/05/2024","34.55","35.10","35.75","34.25","8.15M","-2.54%"
"07/04/2024","35.45","35.60","36.10","35.10","6.86M","-0.56%"
"07/03/2024","35.65","35.70","35.90","35.15","7.35M","-0.14%"
"07/02/2024","35.70","36.75","36.75","35.50","11.05M","-3.64%"
"06/28/2024","37.05","36.60","37.55","36.40","8.22M","-0.13%"
"06/27/2024","37.10","39.65","39.85","36.90","12.96M","-7.37%"
"06/26/2024","40.05","39.00","40.25","39.00","2.99M","1.14%"
"06/25/2024","39.60","40.25","40.30","39.35","4.16M","-1.37%"
"06/24/2024","40.15","40.15","40.20","39.55","2.39M","0.00%"
"06/21/2024","40.15","40.40","40.85","39.95","6.72M","-2.31%"
"06/20/2024","41.10","40.90","41.25","40.65","3.20M","-0.24%"
"06/19/2024","41.20","40.20","41.30","40.00","4.64M","3.00%"
"06/18/2024","40.00","39.90","40.20","39.45","3.10M","0.63%"
