"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2023","6.41","6.42","6.48","6.36","5.12M","0.00%"
"10/30/2023","6.41","6.41","6.47","6.39","5.16M","0.00%"
"10/27/2023","6.41","6.28","6.44","6.24","8.12M","2.07%"
"10/26/2023","6.28","6.18","6.29","6.14","5.70M","0.48%"
"10/25/2023","6.25","6.18","6.28","6.18","6.94M","1.13%"
"10/24/2023","6.18","6.05","6.19","6.04","8.18M","2.66%"
"10/23/2023","6.02","6.22","6.22","5.98","8.37M","-3.53%"
"10/20/2023","6.24","6.25","6.27","6.18","4.66M","-0.16%"
"10/19/2023","6.25","6.30","6.36","6.24","5.05M","-1.11%"
"10/18/2023","6.32","6.53","6.53","6.32","7.95M","-3.07%"
"10/17/2023","6.52","6.50","6.55","6.47","4.70M","0.15%"
"10/16/2023","6.51","6.55","6.56","6.47","5.73M","-0.61%"
"10/13/2023","6.55","6.63","6.63","6.52","5.52M","-1.21%"
"10/12/2023","6.63","6.56","6.63","6.54","5.46M","1.38%"
"10/11/2023","6.54","6.54","6.57","6.53","4.14M","0.00%"
"10/10/2023","6.54","6.55","6.58","6.54","3.27M","-0.30%"
"10/09/2023","6.56","6.61","6.62","6.53","4.93M","-0.61%"
"09/28/2023","6.60","6.59","6.62","6.57","4.63M","0.15%"
"09/27/2023","6.59","6.55","6.60","6.52","4.90M","0.61%"
"09/26/2023","6.55","6.57","6.59","6.53","4.31M","-0.61%"
"09/25/2023","6.59","6.60","6.63","6.57","4.94M","-0.45%"
"09/22/2023","6.62","6.54","6.62","6.53","6.46M","0.91%"
"09/21/2023","6.56","6.66","6.68","6.55","8.36M","-1.65%"
"09/20/2023","6.67","6.75","6.75","6.67","6.23M","-1.04%"
"09/19/2023","6.74","6.74","6.76","6.72","4.45M","0.00%"
"09/18/2023","6.74","6.75","6.77","6.68","6.17M","-0.44%"
"09/15/2023","6.77","6.73","6.80","6.72","6.85M","0.74%"
"09/14/2023","6.72","6.84","6.84","6.72","10.04M","-1.90%"
"09/13/2023","6.85","6.90","6.93","6.82","7.38M","-1.01%"
"09/12/2023","6.92","6.93","6.95","6.89","5.58M","-0.14%"
"09/11/2023","6.93","6.90","6.94","6.87","6.63M","0.43%"
"09/08/2023","6.90","6.86","6.92","6.83","7.24M","0.44%"
"09/07/2023","6.87","7.01","7.01","6.87","13.61M","-2.00%"
"09/06/2023","7.01","7.10","7.10","6.96","13.96M","-1.27%"
"09/05/2023","7.10","7.20","7.20","7.08","13.85M","-1.66%"
"09/04/2023","7.22","7.19","7.23","7.16","12.14M","0.84%"
"09/01/2023","7.16","7.15","7.24","7.15","13.29M","0.28%"
"08/31/2023","7.14","7.23","7.25","7.13","15.24M","-1.52%"
"08/30/2023","7.25","7.37","7.43","7.23","24.70M","-2.42%"
"08/29/2023","7.43","7.35","7.55","7.11","40.35M","-0.13%"
"08/28/2023","7.44","7.80","8.08","7.41","63.47M","-5.94%"
"08/25/2023","7.91","8.40","8.75","7.80","104.00M","-4.58%"
"08/24/2023","8.29","8.10","8.78","7.54","93.66M","2.35%"
"08/23/2023","8.10","7.53","8.17","7.53","72.09M","9.02%"
"08/22/2023","7.43","7.07","7.64","7.07","26.77M","5.69%"
"08/21/2023","7.03","7.02","7.10","6.94","9.05M","-0.71%"
"08/18/2023","7.08","7.36","7.38","7.06","20.41M","-5.22%"
"08/17/2023","7.47","7.45","7.49","7.36","5.20M","0.13%"
"08/16/2023","7.46","7.50","7.53","7.45","4.31M","-0.67%"
"08/15/2023","7.51","7.53","7.57","7.47","3.62M","-0.40%"
"08/14/2023","7.54","7.48","7.55","7.42","4.62M","0.13%"
"08/11/2023","7.53","7.65","7.66","7.52","5.09M","-1.44%"
"08/10/2023","7.64","7.61","7.67","7.61","3.84M","0.39%"
"08/09/2023","7.61","7.64","7.65","7.56","5.50M","-0.65%"
"08/08/2023","7.66","7.69","7.69","7.53","7.43M","-0.13%"
"08/07/2023","7.67","7.73","7.73","7.65","5.47M","-0.90%"
"08/04/2023","7.74","7.74","7.82","7.70","6.66M","0.26%"
"08/03/2023","7.72","7.75","7.79","7.68","7.37M","-0.52%"
"08/02/2023","7.76","7.82","7.84","7.76","5.00M","-0.64%"
"08/01/2023","7.81","7.85","7.89","7.79","6.64M","-0.76%"
"07/31/2023","7.87","7.89","7.98","7.84","8.51M","-0.13%"
"07/28/2023","7.88","7.75","7.89","7.68","8.29M","1.03%"
"07/27/2023","7.80","7.88","7.94","7.79","5.95M","-1.02%"
"07/26/2023","7.88","7.98","7.99","7.85","4.78M","-0.76%"
"07/25/2023","7.94","7.87","7.99","7.87","7.58M","1.40%"
"07/24/2023","7.83","7.88","7.94","7.82","5.66M","-1.01%"
"07/21/2023","7.91","7.93","7.97","7.86","6.12M","0.13%"
"07/20/2023","7.90","7.99","8.04","7.90","7.78M","-1.25%"
"07/19/2023","8.00","8.04","8.04","7.91","7.42M","-0.50%"
"07/18/2023","8.04","8.00","8.06","7.95","6.84M","0.25%"
"07/17/2023","8.02","8.08","8.10","7.96","8.48M","-0.25%"
"07/14/2023","8.04","7.95","8.09","7.93","10.46M","0.75%"
"07/13/2023","7.98","7.95","8.03","7.94","6.71M","0.50%"
"07/12/2023","7.94","8.01","8.04","7.92","8.32M","-0.87%"
"07/11/2023","8.01","7.92","8.05","7.87","12.30M","0.88%"
"07/10/2023","7.94","7.99","8.01","7.90","7.59M","-0.25%"
"07/07/2023","7.96","7.85","8.02","7.80","10.58M","1.02%"
"07/06/2023","7.88","7.89","7.95","7.78","6.20M","-0.13%"
"07/05/2023","7.89","7.96","7.96","7.85","6.89M","-0.25%"
"07/04/2023","7.91","8.03","8.04","7.89","11.36M","-1.86%"
"07/03/2023","8.06","8.05","8.13","7.99","19.15M","1.51%"
