"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2023","7.23","7.09","7.24","7.09","14.31M","1.40%"
"02/27/2023","7.13","6.98","7.20","6.98","15.16M","0.99%"
"02/24/2023","7.06","7.03","7.20","7.03","8.69M","-0.42%"
"02/23/2023","7.09","6.90","7.16","6.90","11.48M","1.58%"
"02/22/2023","6.98","7.01","7.10","6.93","9.67M","-1.13%"
"02/21/2023","7.06","7.03","7.12","6.94","17.20M","0.43%"
"02/20/2023","7.03","7.03","7.15","6.87","22.79M","0.14%"
"02/17/2023","7.02","7.00","7.18","6.96","9.59M","0.00%"
"02/16/2023","7.02","6.94","7.25","6.93","15.84M","2.33%"
"02/15/2023","6.86","6.95","7.03","6.80","10.87M","-1.29%"
"02/14/2023","6.95","7.00","7.09","6.87","15.14M","-0.57%"
"02/13/2023","6.99","6.67","6.99","6.54","21.44M","5.11%"
"02/10/2023","6.65","6.70","6.72","6.61","5.20M","-1.04%"
"02/09/2023","6.72","6.78","6.78","6.61","9.40M","-0.15%"
"02/08/2023","6.73","6.56","6.75","6.56","11.12M","1.97%"
"02/07/2023","6.60","6.66","6.71","6.55","13.24M","-0.90%"
"02/06/2023","6.66","6.66","6.72","6.53","19.22M","-0.30%"
"02/03/2023","6.68","6.83","6.85","6.59","29.34M","-3.05%"
"02/02/2023","6.89","6.94","6.99","6.80","15.38M","-0.72%"
"02/01/2023","6.94","7.03","7.03","6.77","16.50M","-0.57%"
"01/31/2023","6.98","7.10","7.19","6.90","18.81M","-1.55%"
"01/30/2023","7.09","7.44","7.44","7.02","28.08M","-4.32%"
"01/27/2023","7.41","7.61","7.61","7.36","9.55M","-2.50%"
"01/26/2023","7.60","7.69","7.76","7.50","7.87M","-0.13%"
"01/20/2023","7.61","7.52","7.65","7.50","6.40M","1.06%"
"01/19/2023","7.53","7.52","7.65","7.42","16.21M","-0.13%"
"01/18/2023","7.54","7.50","7.66","7.39","24.65M","1.07%"
"01/17/2023","7.46","7.56","7.56","7.32","14.88M","-0.40%"
"01/16/2023","7.49","7.60","7.74","7.35","17.42M","-1.32%"
"01/13/2023","7.59","7.29","7.60","7.25","24.42M","4.83%"
"01/12/2023","7.24","7.19","7.36","7.15","9.42M","0.70%"
"01/11/2023","7.19","7.25","7.39","7.15","11.41M","-1.24%"
"01/10/2023","7.28","7.32","7.38","7.23","10.49M","-0.55%"
"01/09/2023","7.32","7.22","7.38","7.12","13.28M","1.67%"
"01/06/2023","7.20","7.48","7.48","7.15","16.28M","-2.70%"
"01/05/2023","7.40","7.35","7.50","7.19","26.44M","2.64%"
"01/04/2023","7.21","7.16","7.30","7.10","26.01M","0.56%"
"01/03/2023","7.17","6.88","7.18","6.88","20.41M","3.17%"
"12/30/2022","6.95","6.93","7.12","6.93","17.53M","0.29%"
"12/29/2022","6.93","7.02","7.08","6.76","34.86M","-2.12%"
"12/28/2022","7.08","7.40","7.42","7.00","48.05M","-3.01%"
