"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2023","21.70","21.90","22.10","21.15","26.78M","-0.91%"
"02/27/2023","21.90","21.25","23.15","21.20","108.34M","13.71%"
"02/24/2023","19.26","19.30","19.74","19.24","10.29M","-1.13%"
"02/23/2023","19.48","19.10","19.78","19.02","11.55M","2.10%"
"02/22/2023","19.08","19.00","19.32","18.74","17.49M","-0.63%"
"02/21/2023","19.20","19.96","20.20","19.08","17.81M","-3.52%"
"02/20/2023","19.90","19.60","19.98","19.40","12.30M","1.22%"
"02/17/2023","19.66","19.50","19.96","19.46","16.06M","-0.20%"
"02/16/2023","19.70","19.60","20.15","19.48","16.56M","1.34%"
"02/15/2023","19.44","20.00","20.15","19.24","14.30M","-2.61%"
"02/14/2023","19.96","20.25","20.40","19.82","11.60M","-1.43%"
"02/13/2023","20.25","19.32","20.30","18.92","24.21M","4.71%"
"02/10/2023","19.34","19.94","20.35","19.26","16.62M","-3.01%"
"02/09/2023","19.94","19.44","19.96","19.14","14.04M","2.57%"
"02/08/2023","19.44","19.84","19.96","19.32","16.95M","-2.02%"
"02/07/2023","19.84","19.82","20.20","19.64","17.26M","-0.20%"
"02/06/2023","19.88","19.90","20.20","19.58","12.26M","-2.07%"
"02/03/2023","20.30","20.40","20.75","19.96","17.30M","-1.69%"
"02/02/2023","20.65","21.70","21.70","20.35","25.72M","-3.28%"
"02/01/2023","21.35","21.05","21.45","20.80","14.71M","0.47%"
"01/31/2023","21.25","22.00","22.00","20.75","33.03M","-2.30%"
"01/30/2023","21.75","23.35","23.45","21.55","29.83M","-6.85%"
"01/27/2023","23.35","23.30","23.65","22.85","7.16M","0.43%"
"01/26/2023","23.25","23.10","23.30","22.55","16.18M","2.88%"
"01/20/2023","22.60","22.00","22.70","21.85","11.81M","2.73%"
"01/19/2023","22.00","21.85","22.25","21.55","5.85M","0.69%"
"01/18/2023","21.85","21.80","22.70","21.65","16.46M","0.23%"
"01/17/2023","21.80","21.60","22.15","21.10","12.01M","0.00%"
"01/16/2023","21.80","22.60","22.65","21.55","17.28M","-3.33%"
"01/13/2023","22.55","22.50","22.70","21.95","15.73M","1.12%"
"01/12/2023","22.30","22.95","23.00","21.70","24.79M","-1.55%"
"01/11/2023","22.65","24.05","24.40","22.00","34.89M","-5.82%"
"01/10/2023","24.05","24.25","24.70","23.65","19.71M","-1.23%"
"01/09/2023","24.35","23.45","24.60","23.30","25.26M","5.64%"
"01/06/2023","23.05","24.20","24.35","22.80","20.80M","-3.96%"
"01/05/2023","24.00","23.40","24.45","23.00","32.83M","4.35%"
"01/04/2023","23.00","23.10","23.15","22.20","20.59M","0.88%"
"01/03/2023","22.80","22.40","23.20","21.50","21.88M","1.79%"
"12/30/2022","22.40","22.95","23.25","21.90","12.56M","-0.22%"
"12/29/2022","22.45","22.50","23.25","22.20","20.38M","-1.54%"
"12/28/2022","22.80","22.50","23.40","22.15","36.44M","4.83%"
"12/23/2022","21.75","21.05","22.35","21.05","22.32M","1.16%"
"12/22/2022","21.50","20.45","22.15","20.10","38.72M","7.61%"
"12/21/2022","19.98","19.46","20.15","19.36","13.85M","3.95%"
"12/20/2022","19.22","20.10","20.10","18.96","24.45M","-4.85%"
"12/19/2022","20.20","20.70","21.30","20.00","12.90M","-2.88%"
"12/16/2022","20.80","20.00","21.25","19.92","14.98M","4.00%"
"12/15/2022","20.00","20.67","20.96","19.52","18.63M","-1.42%"
"12/14/2022","20.29","20.77","20.87","19.76","24.32M","-0.71%"
"12/13/2022","20.43","20.00","21.01","19.52","29.27M","2.91%"
"12/12/2022","19.86","20.77","21.06","19.52","32.20M","-5.71%"
"12/09/2022","21.06","21.35","21.68","20.53","28.77M","-1.35%"
"12/08/2022","21.35","20.62","21.59","20.38","36.09M","6.22%"
"12/07/2022","20.10","20.72","22.74","19.76","70.41M","-3.91%"
"12/06/2022","20.91","20.96","22.12","20.53","34.52M","-0.23%"
"12/05/2022","20.96","20.38","22.79","19.71","73.36M","7.65%"
"12/02/2022","19.47","18.17","19.81","17.90","46.88M","7.14%"
"12/01/2022","18.17","20.19","20.19","17.96","78.37M","-1.15%"
"11/30/2022","18.38","15.87","18.65","15.69","69.83M","15.46%"
"11/29/2022","15.92","14.33","16.35","14.25","50.32M","12.04%"
"11/28/2022","14.21","13.04","14.31","12.60","25.50M","6.79%"
"11/25/2022","13.31","14.12","14.12","13.19","14.10M","-4.55%"
"11/24/2022","13.94","13.98","14.19","13.73","6.67M","0.69%"
"11/23/2022","13.85","13.94","14.08","13.60","9.16M","-1.10%"
"11/22/2022","14.00","14.90","15.00","13.88","17.34M","-5.21%"
"11/21/2022","14.77","15.56","15.56","14.10","17.52M","-7.13%"
"11/18/2022","15.90","16.04","16.62","15.83","16.17M","0.49%"
"11/17/2022","15.83","15.88","16.00","15.35","12.71M","-0.84%"
"11/16/2022","15.96","16.54","16.71","15.88","23.14M","-2.70%"
"11/15/2022","16.40","15.40","16.85","15.27","34.00M","6.89%"
"11/14/2022","15.35","15.38","15.58","14.62","30.19M","3.91%"
"11/11/2022","14.77","15.04","15.38","14.19","38.01M","5.35%"
"11/10/2022","14.02","13.98","14.12","13.50","14.78M","-1.75%"
"11/09/2022","14.27","14.63","14.79","14.08","14.52M","-2.50%"
"11/08/2022","14.63","15.19","15.27","14.35","17.03M","-2.69%"
"11/07/2022","15.04","14.27","15.37","13.85","27.32M","2.76%"
"11/04/2022","14.63","13.37","15.17","13.29","50.70M","10.13%"
"11/03/2022","13.29","13.06","13.50","13.06","23.94M","-3.49%"
"11/02/2022","13.77","12.67","13.92","12.40","19.34M","8.65%"
"11/01/2022","12.67","11.25","12.94","11.17","40.12M","13.04%"
"10/31/2022","11.21","11.94","12.08","11.10","20.09M","-7.17%"
"10/28/2022","12.08","12.94","12.94","11.94","16.28M","-5.14%"
"10/27/2022","12.73","12.98","13.50","12.62","23.32M","0.00%"
"10/26/2022","12.73","12.63","13.06","12.25","21.44M","-0.45%"
"10/25/2022","12.79","12.02","13.06","11.54","18.99M","6.74%"
"10/24/2022","11.98","12.98","12.98","11.88","19.48M","-8.38%"
"10/21/2022","13.08","13.46","13.46","13.02","7.41M","-1.73%"
"10/20/2022","13.31","13.38","13.79","12.67","13.67M","-1.14%"
"10/19/2022","13.46","13.79","13.85","13.46","5.72M","-2.37%"
"10/18/2022","13.79","13.77","13.90","13.17","9.66M","3.46%"
"10/17/2022","13.33","13.13","13.62","12.56","12.25M","1.02%"
"10/14/2022","13.19","13.12","13.58","12.88","10.55M","3.94%"
