"query","search interest","increase percent"
"lianhua qingwen nature",1,"Breakout"
"lianhua qingwen para que sirve",2,"300%"
"obat lianhua qingwen capsules harga",1,"250%"
"lianhua qingwen capsules side effects",1,"170%"
"harga obat lianhua qingwen capsules",1,"150%"
"lianhua qingwen efek samping",1,"120%"
"lianhua qingwen dosis",2,"120%"
"lianhua qingwen for cough",5,"90%"
"lianhua qingwen fda",1,"60%"
"lianhua qingwen jiaonang dosage",5,"60%"
"covid medicine",4,"50%"
"lianhua qingwen obat apa",8,"50%"
"lianhua qingwen jiaonang obat apa",5,"40%"
"lianhua qingwen jiaonang how to take",3,"40%"
"lianhua qingwen keli",3,"70%"
"lianhua qingwen how to take",7,"30%"
"lianhua qingwen capsules",20,"30%"
"obat lianhua qingwen capsules",3,"30%"
"lianhua qingwen capsule how to take",2,"30%"
"lianhua qingwen dosage",11,"30%"
