"query","search interest","increase percent"
"lianhua qingwen jiaonang",100,"-20%"
"lianhua qingwen capsules",20,"30%"
"lianhua qingwen capsule",17,"20%"
"lianhua qingwen covid",16,"-2%"
"lianhua qingwen dosage",11,"30%"
"obat lianhua qingwen jiaonang",8,"20%"
"lianhua qingwen obat apa",8,"50%"
"lianhua qingwen how to take",7,"30%"
"how to take lianhua qingwen",6,"30%"
"lianhua qingwen side effects",6,"10%"
"singapore lianhua qingwen",6,"-20%"
"lianhua qingwen singapore",5,"-30%"
"lianhua qingwen jiaonang obat apa",5,"40%"
"lianhua qingwen for cough",5,"90%"
"lianhua qingwen jiaonang dosage",5,"60%"
"covid medicine",4,"50%"
"lianhua qingwen harga",3,"9%"
"lian hua",3,"20%"
"obat lianhua qingwen capsules",3,"30%"
"lianhua qingwen dosage per day",3,"20%"
