"Time","Lianhua Qingwen","Yiling Pharmaceutical","China COVID medicine","COVID China drug"
"2022-08-28",69,0,0,0
"2022-09-04",72,0,0,0
"2022-09-11",71,0,0,0
"2022-09-18",77,0,0,0
"2022-09-25",66,0,6,5
"2022-10-02",74,0,0,0
"2022-10-09",94,0,0,0
"2022-10-16",78,0,0,0
"2022-10-23",82,0,0,0
"2022-10-30",66,0,0,0
"2022-11-06",71,0,0,0
"2022-11-13",74,0,0,0
"2022-11-20",79,0,0,0
"2022-11-27",70,0,0,6
"2022-12-04",76,0,6,0
"2022-12-11",100,0,10,0
"2022-12-18",83,0,24,6
"2022-12-25",70,0,23,6
"2023-01-01",51,0,11,8
"2023-01-08",41,0,10,8
"2023-01-15",35,0,0,0
"2023-01-22",31,0,8,0
"2023-01-29",35,0,0,0
"2023-02-05",24,0,0,0
"2023-02-12",32,0,0,0
"2023-02-19",25,0,0,0
"2023-02-26",29,0,0,0
"2023-03-05",31,0,0,0
"2023-03-12",23,0,0,0
"2023-03-19",27,0,0,0
"2023-03-26",25,0,0,0
