"Time","Nongfu Spring","Wahaha"
"2023-12-31",8,41
"2024-01-07",12,31
"2024-01-14",8,34
"2024-01-21",13,29
"2024-01-28",13,33
"2024-02-04",10,34
"2024-02-11",14,36
"2024-02-18",11,33
"2024-02-25",13,100
"2024-03-03",27,58
"2024-03-10",68,45
"2024-03-17",22,54
"2024-03-24",18,59
"2024-03-31",13,55
"2024-04-07",14,67
"2024-04-14",16,48
"2024-04-21",12,43
"2024-04-28",19,47
"2024-05-05",13,43
"2024-05-12",17,36
"2024-05-19",14,48
"2024-05-26",13,50
"2024-06-02",0,50
"2024-06-09",14,66
"2024-06-16",12,62
"2024-06-23",14,60
"2024-06-30",8,56
"2024-07-07",13,60
"2024-07-14",22,44
"2024-07-21",26,55
"2024-07-28",10,43
"2024-08-04",13,41
"2024-08-11",25,35
"2024-08-18",18,48
"2024-08-25",27,41
"2024-09-01",10,50
"2024-09-08",13,42
"2024-09-15",9,38
"2024-09-22",15,45
"2024-09-29",15,38
