"query","search interest","increase percent"
"protests in china",100,"-40%"
"covid",33,"170%"
"china covid",33,"150%"
"china protests covid",33,"170%"
"covid china",33,"250%"
"china covid protests",33,"160%"
"covid protests china",33,"140%"
"2022 china protests",21,"-60%"
"china protests 2022",20,"-60%"
"iran protests",18,"20%"
"china news",18,"-30%"
"china protests news",17,"-30%"
"twitter china protests",16,"200%"
"twitter",16,"250%"
"china protests twitter",16,"170%"
"chinese protests",16,"-60%"
"china protest",14,"-40%"
"covid protests in china",12,"130%"
"hong kong protests",10,"-70%"
"china protests hong kong",10,"-70%"
