"query","search interest","increase percent"
"bloomberg",15,"Breakout"
"reopening committee",13,"Breakout"
"reopening committee china",12,"Breakout"
"china reopening playbook",9,"Breakout"
"china reopening committee",9,"Breakout"
"reuters",8,"Breakout"
"china border reopening 2023",8,"Breakout"
"china reopening 2023",88,"700%"
"china economy",43,"300%"
"china reopening stocks",43,"250%"
"china reopening economy",47,"160%"
"china reopening inflation",34,"90%"
"china reopening news",64,"30%"
"china news",61,"20%"
