"query","search interest","increase percent"
"china covid",100,"-10%"
"china covid reopening",100,"-2%"
"covid china",99,"-4%"
"china reopening 2023",88,"700%"
"china borders reopening",87,"-50%"
"is china reopening",86,"-20%"
"china reopening borders",84,"-50%"
"china border reopening",79,"-50%"
"china reopening news",64,"30%"
"china news",61,"20%"
"china reopening 2022",51,"-60%"
"china reopening economy",47,"160%"
"china economy",43,"300%"
"china reopening stocks",43,"250%"
"china reopening tourism",39,"-50%"
"china tourism reopening",38,"-60%"
"hong kong reopening",38,"-40%"
"china reopening inflation",34,"90%"
"china zero covid",22,"6%"
"when is china reopening",16,"-40%"
