"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2023","48.96","47.99","49.00","47.80","9.43M","2.11%"
"02/27/2023","47.95","47.80","48.40","47.73","5.63M","0.08%"
"02/24/2023","47.91","47.89","48.29","47.76","4.65M","-0.31%"
"02/23/2023","48.06","48.28","48.60","47.74","5.71M","-0.54%"
"02/22/2023","48.32","48.38","48.83","48.20","6.69M","-0.62%"
"02/21/2023","48.62","48.02","49.20","48.02","11.83M","1.25%"
"02/20/2023","48.02","47.93","48.30","46.85","10.29M","0.40%"
"02/17/2023","47.83","47.33","49.00","46.85","17.66M","1.29%"
"02/16/2023","47.22","47.18","48.26","46.77","15.33M","0.68%"
"02/15/2023","46.90","46.30","47.64","46.15","10.76M","1.08%"
"02/14/2023","46.40","46.30","46.59","45.89","4.66M","0.00%"
"02/13/2023","46.40","45.30","46.42","45.30","10.92M","2.54%"
"02/10/2023","45.25","45.72","46.31","45.21","8.00M","-0.94%"
"02/09/2023","45.68","45.14","45.72","45.14","4.57M","0.88%"
"02/08/2023","45.28","45.59","45.98","45.10","5.40M","-0.66%"
"02/07/2023","45.58","45.83","46.26","45.11","6.34M","-0.48%"
"02/06/2023","45.80","46.10","46.98","45.50","9.68M","-0.84%"
"02/03/2023","46.19","47.20","47.25","46.03","7.65M","-2.16%"
"02/02/2023","47.21","47.01","47.38","46.60","6.92M","0.17%"
"02/01/2023","47.13","47.01","47.35","46.68","6.38M","-0.02%"
"01/31/2023","47.14","48.29","48.30","46.91","7.73M","-2.54%"
"01/30/2023","48.37","47.19","49.00","46.80","13.72M","2.96%"
"01/20/2023","46.98","46.63","47.81","46.60","9.15M","0.71%"
"01/19/2023","46.65","45.94","47.08","45.80","7.57M","1.57%"
"01/18/2023","45.93","46.14","46.58","45.48","7.97M","-0.99%"
"01/17/2023","46.39","47.30","47.30","46.03","8.26M","-1.36%"
"01/16/2023","47.03","46.06","48.14","46.06","17.88M","2.19%"
"01/13/2023","46.02","45.39","46.23","45.03","8.30M","1.43%"
"01/12/2023","45.37","45.40","46.26","45.00","9.72M","-0.04%"
"01/11/2023","45.39","44.32","46.66","44.32","18.50M","2.41%"
"01/10/2023","44.32","42.55","44.56","42.43","19.64M","4.14%"
"01/09/2023","42.56","42.03","42.74","42.00","14.48M","0.61%"
"01/06/2023","42.30","44.27","44.29","41.66","30.51M","-4.97%"
"01/05/2023","44.51","45.88","46.00","44.14","17.56M","-2.73%"
"01/04/2023","45.76","45.40","45.94","45.20","5.46M","0.73%"
"01/03/2023","45.43","44.72","46.13","44.72","5.73M","1.68%"
"12/30/2022","44.68","44.71","45.28","44.54","3.54M","-0.04%"
"12/29/2022","44.70","44.35","44.90","44.11","4.91M","0.77%"
"12/28/2022","44.36","45.21","45.43","44.00","6.80M","-2.03%"
"12/27/2022","45.28","45.29","45.42","44.68","3.65M","0.09%"
"12/26/2022","45.24","43.86","45.60","43.86","6.20M","3.15%"
"12/23/2022","43.86","44.21","44.55","43.70","4.53M","-0.93%"
"12/22/2022","44.27","45.42","45.82","44.20","7.04M","-2.25%"
"12/21/2022","45.29","45.99","46.27","45.11","4.26M","-0.70%"
"12/20/2022","45.61","45.87","46.35","45.35","4.64M","-0.85%"
"12/19/2022","46.00","47.50","47.74","45.81","7.39M","-3.16%"
"12/16/2022","47.50","46.90","47.69","46.65","7.11M","1.15%"
"12/15/2022","46.96","46.90","47.21","46.53","6.76M","0.11%"
"12/14/2022","46.91","48.80","48.99","46.70","13.36M","-3.93%"
"12/13/2022","48.83","50.15","50.17","48.39","11.59M","-2.28%"
"12/12/2022","49.97","49.59","50.48","48.93","13.22M","2.17%"
"12/09/2022","48.91","49.08","50.77","48.80","13.13M","0.76%"
"12/08/2022","48.54","48.78","49.11","48.15","6.37M","0.06%"
"12/07/2022","48.51","48.10","48.77","47.53","7.50M","0.81%"
"12/06/2022","48.12","49.00","49.50","47.74","11.09M","-1.57%"
"12/05/2022","48.89","49.00","50.45","48.70","11.02M","0.74%"
"12/02/2022","48.53","48.63","49.27","48.50","5.60M","-1.26%"
"12/01/2022","49.15","49.15","49.80","47.88","14.43M","0.00%"
