"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2023","35.55","35.50","36.49","35.23","5.54M","0.17%"
"02/27/2023","35.49","35.06","35.85","34.87","5.17M","2.01%"
"02/24/2023","34.79","35.08","35.27","34.39","3.90M","-4.11%"
"02/23/2023","36.28","37.39","37.49","35.67","5.87M","-1.33%"
"02/22/2023","36.77","36.79","36.99","36.21","2.71M","1.02%"
"02/21/2023","36.40","35.83","37.13","35.77","5.85M","-0.19%"
"02/17/2023","36.47","36.85","37.08","36.35","2.86M","-4.15%"
"02/16/2023","38.05","37.90","38.21","37.40","2.82M","0.58%"
"02/15/2023","37.83","37.31","37.85","36.76","3.94M","0.13%"
"02/14/2023","37.78","37.34","37.99","37.19","5.05M","-0.18%"
"02/13/2023","37.85","37.25","38.19","37.03","5.40M","3.50%"
"02/10/2023","36.57","36.32","36.99","36.32","3.86M","-2.97%"
"02/09/2023","37.69","37.95","38.44","37.43","5.46M","1.65%"
"02/08/2023","37.08","36.99","37.96","36.86","5.44M","0.00%"
"02/07/2023","37.08","37.11","37.36","36.84","4.73M","2.54%"
"02/06/2023","36.16","35.15","36.43","34.79","3.78M","1.09%"
"02/03/2023","35.77","36.32","36.49","35.48","4.31M","-1.84%"
"02/02/2023","36.44","37.59","37.64","36.03","4.50M","-3.19%"
"02/01/2023","37.64","37.91","39.22","37.00","4.39M","2.39%"
"01/31/2023","36.76","37.02","37.89","36.67","5.20M","-1.84%"
"01/30/2023","37.45","37.61","37.88","37.09","6.03M","-4.97%"
"01/27/2023","39.41","40.00","40.17","39.15","3.56M","-1.62%"
"01/26/2023","40.06","40.07","40.08","39.50","4.35M","0.83%"
"01/25/2023","39.73","38.70","39.90","38.55","4.10M","2.85%"
"01/24/2023","38.63","37.62","38.74","37.50","3.29M","1.58%"
"01/23/2023","38.03","38.31","38.69","37.97","1.63M","-0.65%"
"01/20/2023","38.28","38.80","39.09","38.02","4.78M","1.86%"
"01/19/2023","37.58","37.31","38.14","37.04","5.01M","3.33%"
"01/18/2023","36.37","36.84","37.23","36.07","5.29M","0.14%"
"01/17/2023","36.32","36.55","36.81","35.64","5.10M","-3.22%"
"01/13/2023","37.53","37.52","38.41","37.39","3.88M","1.49%"
"01/12/2023","36.98","36.14","37.17","35.99","4.40M","1.26%"
"01/11/2023","36.52","36.70","37.12","36.42","4.53M","-3.00%"
"01/10/2023","37.65","37.72","38.22","37.03","5.04M","-0.08%"
"01/09/2023","37.68","39.00","39.01","36.85","9.13M","-1.70%"
"01/06/2023","38.33","37.40","38.49","37.13","4.77M","0.08%"
"01/05/2023","38.30","37.83","38.71","37.64","5.60M","0.45%"
"01/04/2023","38.13","37.17","38.22","36.94","8.78M","6.84%"
"01/03/2023","35.69","35.01","35.97","34.96","5.29M","3.75%"
"12/30/2022","34.40","33.86","34.56","33.80","3.06M","-0.95%"
"12/29/2022","34.73","34.50","35.11","33.91","4.73M","0.52%"
"12/28/2022","34.55","35.52","35.81","34.48","5.99M","-2.57%"
"12/27/2022","35.46","34.90","35.60","34.02","8.70M","4.32%"
"12/23/2022","33.99","34.84","35.25","33.84","2.56M","-2.38%"
"12/22/2022","34.82","35.00","35.39","34.52","3.57M","-0.40%"
"12/21/2022","34.96","34.35","35.19","34.06","5.36M","1.33%"
"12/20/2022","34.50","33.48","34.62","33.45","5.52M","-0.06%"
"12/19/2022","34.52","34.85","34.95","33.95","10.10M","-0.86%"
"12/16/2022","34.82","35.00","35.92","34.73","8.10M","0.55%"
"12/15/2022","34.63","34.79","35.99","34.12","10.70M","0.64%"
"12/14/2022","34.41","33.50","34.87","33.33","15.70M","3.27%"
