"Time","Urumqi fire","China protests","zero covid","China reopening"
"2022-09-25",0,2,7,1
"2022-10-02",0,1,7,1
"2022-10-09",0,2,8,1
"2022-10-16",0,2,11,1
"2022-10-23",0,3,9,0
"2022-10-30",0,1,14,4
"2022-11-06",0,1,13,2
"2022-11-13",0,2,11,1
"2022-11-20",2,8,12,1
"2022-11-27",9,100,50,2
"2022-12-04",1,19,20,3
"2022-12-11",0,11,11,2
"2022-12-18",0,3,14,2
"2022-12-25",0,3,12,5
"2023-01-01",0,2,9,3
"2023-01-08",0,2,8,4
"2023-01-15",0,2,6,2
"2023-01-22",0,2,5,2
"2023-01-29",0,2,5,2
"2023-02-05",0,2,4,2
"2023-02-12",0,2,4,1
"2023-02-19",0,2,4,2
"2023-02-26",0,2,4,1
