"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2023","30.02","29.42","30.12","29.28","47.29M","2.00%"
"02/27/2023","29.43","30.04","30.39","29.36","44.44M","-2.03%"
"02/24/2023","30.04","30.07","30.39","30.00","30.32M","-0.69%"
"02/23/2023","30.25","31.07","31.08","30.11","66.04M","-3.11%"
"02/22/2023","31.22","31.28","31.95","31.10","62.86M","-0.79%"
"02/21/2023","31.47","31.60","31.85","31.16","57.77M","-0.41%"
"02/20/2023","31.60","32.62","32.62","31.00","106.45M","-3.07%"
"02/17/2023","32.60","30.47","33.46","29.85","180.44M","5.98%"
"02/16/2023","30.76","29.20","31.38","29.20","153.43M","4.80%"
"02/15/2023","29.35","29.65","29.96","29.30","55.59M","-0.98%"
"02/14/2023","29.64","29.34","29.73","29.05","47.05M","1.02%"
"02/13/2023","29.34","29.08","29.50","28.93","30.20M","0.58%"
"02/10/2023","29.17","29.55","29.89","29.11","36.93M","-1.25%"
"02/09/2023","29.54","29.43","29.62","28.85","43.55M","0.54%"
"02/08/2023","29.38","29.10","29.49","29.00","33.97M","0.79%"
"02/07/2023","29.15","29.32","29.40","28.67","40.12M","-0.55%"
"02/06/2023","29.31","29.23","29.70","29.20","32.59M","-0.14%"
"02/03/2023","29.35","29.90","30.00","29.08","50.49M","-1.77%"
"02/02/2023","29.88","30.00","30.17","29.66","48.08M","-0.40%"
"02/01/2023","30.00","29.03","30.08","29.02","95.34M","3.45%"
"01/31/2023","29.00","29.00","29.18","28.21","40.84M","0.07%"
"01/30/2023","28.98","28.92","29.44","28.80","42.69M","0.28%"
"01/20/2023","28.90","28.68","29.20","28.68","41.69M","1.16%"
"01/19/2023","28.57","28.70","29.05","28.56","38.81M","-0.76%"
"01/18/2023","28.79","28.83","29.06","28.73","25.84M","-0.03%"
"01/17/2023","28.80","29.39","29.45","28.60","48.43M","-1.74%"
"01/16/2023","29.31","29.50","30.09","29.25","62.75M","-0.91%"
"01/13/2023","29.58","29.72","29.84","29.09","51.99M","-0.50%"
"01/12/2023","29.73","29.35","30.18","28.30","83.60M","0.58%"
"01/11/2023","29.56","29.42","30.33","29.26","92.78M","0.75%"
"01/10/2023","29.34","29.70","29.95","29.19","58.83M","-1.15%"
"01/09/2023","29.68","29.60","30.25","29.34","81.37M","1.37%"
"01/06/2023","29.28","29.52","29.78","29.18","58.64M","-1.01%"
