,social_media_frequency,follow_closeness,discussion_seen,spread_speed,algorithm_amplification,moderation_reduction,behavior_effect,agree_market_effect,agree_government_response,china_control_vs_us,agree_control_but_spread
social_media_frequency,1.0,-0.016457143765874076,-0.06796523232106524,-0.06282733239602618,-0.012236168002722122,-0.051402281409112724,-0.16502286861226648,-0.23748981185152965,-0.043264721689153414,-0.047198898050005704,-0.072138097343297
follow_closeness,-0.016457143765874076,1.0,-0.03505825664687509,-0.048210032648191556,0.019738491245385455,0.03702295687163416,0.1176661044754573,0.08901722530831573,-0.03829408253207817,-0.06904648046600419,-0.16253981577137971
discussion_seen,-0.06796523232106524,-0.03505825664687509,1.0,0.034046932986121915,0.014210624055593264,0.07899720014172075,0.10362083437041562,0.15030375212344968,-0.015469297913458083,-0.031039739448841367,0.11447669984360435
spread_speed,-0.06282733239602618,-0.048210032648191556,0.034046932986121915,1.0,0.6902992498812942,0.6705259106122996,-0.004486215703363213,-0.01622804540469261,0.05278638076385205,0.031117561723492896,0.05207942689013147
algorithm_amplification,-0.012236168002722122,0.019738491245385455,0.014210624055593264,0.6902992498812942,1.0,0.7524838734282743,0.12244446119645092,0.08424092686192179,-0.07306600276328991,-0.036715311279174004,0.0015080999666025612
moderation_reduction,-0.051402281409112724,0.03702295687163416,0.07899720014172075,0.6705259106122996,0.7524838734282743,1.0,0.06660106254688161,0.1813668615806311,-0.05162127897365092,0.03078413793795402,0.03364482077890853
behavior_effect,-0.16502286861226648,0.1176661044754573,0.10362083437041562,-0.004486215703363213,0.12244446119645092,0.06660106254688161,1.0,0.49824147679156366,-0.010197485950767646,-0.1366195127808805,-0.013287257831688097
agree_market_effect,-0.23748981185152965,0.08901722530831573,0.15030375212344968,-0.01622804540469261,0.08424092686192179,0.1813668615806311,0.49824147679156366,1.0,-0.001657634510539939,0.06532550001793186,0.010883075791149499
agree_government_response,-0.043264721689153414,-0.03829408253207817,-0.015469297913458083,0.05278638076385205,-0.07306600276328991,-0.05162127897365092,-0.010197485950767646,-0.001657634510539939,1.0,0.48171150423147374,0.5080676985192243
china_control_vs_us,-0.047198898050005704,-0.06904648046600419,-0.031039739448841367,0.031117561723492896,-0.036715311279174004,0.03078413793795402,-0.1366195127808805,0.06532550001793186,0.48171150423147374,1.0,0.5117467870733494
agree_control_but_spread,-0.072138097343297,-0.16253981577137971,0.11447669984360435,0.05207942689013147,0.0015080999666025612,0.03364482077890853,-0.013287257831688097,0.010883075791149499,0.5080676985192243,0.5117467870733494,1.0
